--- Atoms: 
CONJESTED('850_409') Truth=[1]
CONJESTED('400_549') Truth=[1]
CONJESTED('1320_883') Truth=[1]
CONJESTED('561_1343') Truth=[1]
CONJESTED('37_158') Truth=[1]
CONJESTED('416_217') Truth=[1]
CONJESTED('150_23') Truth=[1]
CONJESTED('1243_102') Truth=[1]
CONJESTED('1079_1200') Truth=[1]
CONJESTED('1158_518') Truth=[1]
CONJESTED('1283_1062') Truth=[1]
CONJESTED('731_399') Truth=[1]
CONJESTED('499_715') Truth=[1]
CONJESTED('966_1187') Truth=[1]
CONJESTED('755_902') Truth=[1]
CONJESTED('939_138') Truth=[1]
CONJESTED('370_326') Truth=[1]
CONJESTED('1335_1207') Truth=[1]
CONJESTED('801_105') Truth=[1]
CONJESTED('559_468') Truth=[1]
CONJESTED('1117_239') Truth=[1]
CONJESTED('534_62') Truth=[1]
CONJESTED('1090_952') Truth=[1]
CONJESTED('663_58') Truth=[1]
CONJESTED('905_1219') Truth=[1]
CONJESTED('737_1361') Truth=[1]
CONJESTED('1092_791') Truth=[1]
CONJESTED('881_1287') Truth=[1]
CONJESTED('1082_1274') Truth=[1]
CONJESTED('116_1339') Truth=[1]
CONJESTED('412_853') Truth=[1]
CONJESTED('72_1193') Truth=[1]
CONJESTED('1140_1196') Truth=[1]
CONJESTED('834_912') Truth=[1]
CONJESTED('527_929') Truth=[1]
CONJESTED('688_147') Truth=[1]
CONJESTED('8_893') Truth=[1]
CONJESTED('893_437') Truth=[1]
CONJESTED('55_600') Truth=[1]
CONJESTED('746_288') Truth=[1]
CONJESTED('986_1037') Truth=[1]
CONJESTED('1120_1068') Truth=[1]
CONJESTED('930_474') Truth=[1]
CONJESTED('1062_1283') Truth=[1]
CONJESTED('1122_1159') Truth=[1]
CONJESTED('835_726') Truth=[1]
CONJESTED('797_1321') Truth=[1]
CONJESTED('951_369') Truth=[1]
CONJESTED('1243_1069') Truth=[1]
CONJESTED('420_643') Truth=[1]
CONJESTED('1006_957') Truth=[1]
CONJESTED('608_1308') Truth=[1]
CONJESTED('911_15') Truth=[1]
CONJESTED('592_1297') Truth=[1]
CONJESTED('842_864') Truth=[1]
CONJESTED('392_94') Truth=[1]
CONJESTED('500_452') Truth=[1]
CONJESTED('256_539') Truth=[1]
CONJESTED('711_55') Truth=[1]
CONJESTED('872_346') Truth=[1]
CONJESTED('29_888') Truth=[1]
CONJESTED('534_953') Truth=[1]
CONJESTED('1145_276') Truth=[1]
CONJESTED('890_828') Truth=[1]
CONJESTED('383_610') Truth=[1]
CONJESTED('132_1156') Truth=[1]
CONJESTED('691_521') Truth=[1]
CONJESTED('1190_1351') Truth=[1]
CONJESTED('980_403') Truth=[1]
CONJESTED('1344_1182') Truth=[1]
CONJESTED('995_873') Truth=[1]
CONJESTED('417_1257') Truth=[1]
CONJESTED('1150_1009') Truth=[1]
CONJESTED('1324_80') Truth=[1]
CONJESTED('547_127') Truth=[1]
CONJESTED('1184_447') Truth=[1]
CONJESTED('1344_720') Truth=[1]
CONJESTED('247_536') Truth=[1]
CONJESTED('892_1244') Truth=[1]
CONJESTED('635_328') Truth=[1]
CONJESTED('717_599') Truth=[1]
CONJESTED('1227_495') Truth=[1]
CONJESTED('506_1262') Truth=[1]
CONJESTED('54_493') Truth=[1]
CONJESTED('130_175') Truth=[1]
CONJESTED('218_378') Truth=[1]
CONJESTED('706_708') Truth=[1]
CONJESTED('330_349') Truth=[1]
CONJESTED('426_688') Truth=[1]
CONJESTED('54_498') Truth=[1]
CONJESTED('1279_1143') Truth=[1]
CONJESTED('1234_592') Truth=[1]
CONJESTED('1104_765') Truth=[1]
CONJESTED('657_1040') Truth=[1]
CONJESTED('1163_172') Truth=[1]
CONJESTED('961_1177') Truth=[1]
CONJESTED('387_1199') Truth=[1]
CONJESTED('1025_211') Truth=[1]
CONJESTED('1079_341') Truth=[1]
CONJESTED('989_101') Truth=[1]
CONJESTED('161_162') Truth=[0.5]
CONJESTED('938_1220') Truth=[1]
CONJESTED('190_857') Truth=[1]
CONJESTED('62_398') Truth=[1]
CONJESTED('1101_1172') Truth=[1]
CONJESTED('443_1088') Truth=[1]
CONJESTED('633_963') Truth=[1]
CONJESTED('399_436') Truth=[1]
CONJESTED('152_475') Truth=[1]
CONJESTED('581_1030') Truth=[1]
CONJESTED('211_294') Truth=[1]
CONJESTED('1351_1302') Truth=[1]
CONJESTED('510_1100') Truth=[1]
CONJESTED('314_478') Truth=[1]
CONJESTED('1305_989') Truth=[1]
CONJESTED('677_183') Truth=[1]
CONJESTED('77_131') Truth=[1]
CONJESTED('885_36') Truth=[1]
CONJESTED('514_734') Truth=[1]
CONJESTED('956_442') Truth=[1]
CONJESTED('1168_453') Truth=[1]
CONJESTED('1048_314') Truth=[1]
CONJESTED('311_607') Truth=[1]
CONJESTED('1130_1269') Truth=[1]
CONJESTED('18_720') Truth=[1]
CONJESTED('35_847') Truth=[1]
CONJESTED('195_802') Truth=[1]
CONJESTED('410_640') Truth=[1]
CONJESTED('1362_760') Truth=[0.72]
CONJESTED('559_737') Truth=[1]
CONJESTED('820_557') Truth=[1]
CONJESTED('1322_610') Truth=[1]
CONJESTED('717_568') Truth=[1]
CONJESTED('297_1225') Truth=[1]
CONJESTED('688_1301') Truth=[1]
CONJESTED('964_1290') Truth=[1]
CONJESTED('657_933') Truth=[1]
CONJESTED('1250_414') Truth=[1]
CONJESTED('459_1156') Truth=[1]
CONJESTED('1133_1034') Truth=[1]
CONJESTED('52_454') Truth=[1]
CONJESTED('135_855') Truth=[1]
CONJESTED('182_1067') Truth=[1]
CONJESTED('265_683') Truth=[1]
CONJESTED('225_276') Truth=[1]
CONJESTED('253_843') Truth=[1]
CONJESTED('965_125') Truth=[0.9]
CONJESTED('1309_1251') Truth=[1]
CONJESTED('1019_171') Truth=[1]
CONJESTED('363_128') Truth=[1]
CONJESTED('1363_103') Truth=[1]
CONJESTED('313_223') Truth=[1]
CONJESTED('67_1275') Truth=[1]
CONJESTED('854_294') Truth=[1]
CONJESTED('1137_1205') Truth=[1]
CONJESTED('1315_1094') Truth=[1]
CONJESTED('729_1180') Truth=[1]
CONJESTED('125_633') Truth=[0.99]
CONJESTED('119_528') Truth=[1]
CONJESTED('966_192') Truth=[1]
CONJESTED('231_23') Truth=[1]
CONJESTED('1377_776') Truth=[1]
CONJESTED('629_460') Truth=[1]
CONJESTED('1132_142') Truth=[1]
CONJESTED('613_672') Truth=[1]
CONJESTED('1256_1179') Truth=[1]
CONJESTED('266_225') Truth=[1]
CONJESTED('319_738') Truth=[1]
CONJESTED('1040_438') Truth=[1]
CONJESTED('193_1260') Truth=[1]
CONJESTED('1217_772') Truth=[1]
CONJESTED('661_1329') Truth=[1]
CONJESTED('931_1221') Truth=[1]
CONJESTED('769_1372') Truth=[1]
CONJESTED('720_1344') Truth=[1]
CONJESTED('1132_395') Truth=[1]
CONJESTED('622_180') Truth=[1]
CONJESTED('802_1295') Truth=[1]
CONJESTED('126_1022') Truth=[0.97]
CONJESTED('184_1122') Truth=[1]
CONJESTED('257_1060') Truth=[1]
CONJESTED('726_205') Truth=[1]
CONJESTED('820_354') Truth=[1]
CONJESTED('5_384') Truth=[1]
CONJESTED('777_563') Truth=[1]
CONJESTED('1334_398') Truth=[1]
CONJESTED('355_694') Truth=[1]
CONJESTED('873_995') Truth=[1]
CONJESTED('84_1195') Truth=[1]
CONJESTED('1350_837') Truth=[1]
CONJESTED('163_1004') Truth=[1]
CONJESTED('1255_446') Truth=[1]
CONJESTED('180_622') Truth=[1]
CONJESTED('992_1111') Truth=[1]
CONJESTED('1035_1261') Truth=[1]
CONJESTED('303_761') Truth=[1]
CONJESTED('634_120') Truth=[1]
CONJESTED('567_645') Truth=[1]
CONJESTED('313_1210') Truth=[1]
CONJESTED('411_75') Truth=[1]
CONJESTED('1339_400') Truth=[1]
CONJESTED('294_211') Truth=[1]
CONJESTED('1293_601') Truth=[1]
CONJESTED('253_13') Truth=[1]
CONJESTED('590_161') Truth=[1]
CONJESTED('1248_62') Truth=[1]
CONJESTED('768_656') Truth=[1]
CONJESTED('1355_889') Truth=[1]
CONJESTED('535_176') Truth=[1]
CONJESTED('495_1124') Truth=[1]
CONJESTED('31_320') Truth=[1]
CONJESTED('656_1036') Truth=[1]
CONJESTED('710_677') Truth=[1]
CONJESTED('569_486') Truth=[1]
CONJESTED('1176_149') Truth=[1]
CONJESTED('651_616') Truth=[1]
CONJESTED('927_899') Truth=[1]
CONJESTED('462_1133') Truth=[1]
CONJESTED('1155_683') Truth=[1]
CONJESTED('1283_679') Truth=[1]
CONJESTED('369_298') Truth=[1]
CONJESTED('465_619') Truth=[1]
CONJESTED('165_418') Truth=[1]
