--- Atoms: 
CONJESTED('584_218') Truth=[0.01]
CONJESTED('859_374') Truth=[0.1]
CONJESTED('371_339') Truth=[0.64]
CONJESTED('1037_649') Truth=[0.5]
CONJESTED('638_491') Truth=[1]
CONJESTED('573_488') Truth=[0.32]
CONJESTED('1201_351') Truth=[1]
CONJESTED('972_361') Truth=[0.01]
CONJESTED('628_886') Truth=[0.5]
CONJESTED('381_1091') Truth=[0.23]
CONJESTED('1353_126') Truth=[0.24]
CONJESTED('1061_881') Truth=[0.74]
CONJESTED('1180_1109') Truth=[1]
CONJESTED('405_70') Truth=[0.24]
CONJESTED('316_489') Truth=[1]
CONJESTED('809_842') Truth=[0.5]
CONJESTED('453_705') Truth=[1]
CONJESTED('105_505') Truth=[0.41]
CONJESTED('1293_1116') Truth=[0.44]
CONJESTED('205_726') Truth=[0.1]
CONJESTED('1301_437') Truth=[0.2]
CONJESTED('1214_600') Truth=[1]
CONJESTED('1264_358') Truth=[0.08]
CONJESTED('1266_53') Truth=[0.22]
CONJESTED('1186_56') Truth=[0.19]
CONJESTED('15_532') Truth=[0.48]
CONJESTED('1272_381') Truth=[0.53]
CONJESTED('131_945') Truth=[0.32]
CONJESTED('1089_1035') Truth=[0.8]
CONJESTED('1182_1344') Truth=[0.16]
CONJESTED('139_292') Truth=[0.03]
CONJESTED('1192_624') Truth=[0.01]
CONJESTED('219_818') Truth=[1]
CONJESTED('278_126') Truth=[0.32]
CONJESTED('1315_956') Truth=[0]
CONJESTED('516_552') Truth=[0]
CONJESTED('194_165') Truth=[0.26]
CONJESTED('507_711') Truth=[1]
CONJESTED('412_402') Truth=[0]
CONJESTED('306_884') Truth=[0.5]
CONJESTED('674_1368') Truth=[0]
CONJESTED('23_1215') Truth=[0.6]
CONJESTED('206_556') Truth=[0.19]
CONJESTED('400_1339') Truth=[1]
CONJESTED('1108_455') Truth=[0.47]
CONJESTED('70_405') Truth=[0.14]
CONJESTED('1216_665') Truth=[0.02]
CONJESTED('1020_961') Truth=[0.48]
CONJESTED('1011_1131') Truth=[0.21]
CONJESTED('1310_1126') Truth=[0.03]
CONJESTED('527_972') Truth=[0]
CONJESTED('378_218') Truth=[0.05]
CONJESTED('1209_231') Truth=[1]
CONJESTED('614_313') Truth=[1]
CONJESTED('689_396') Truth=[0.5]
CONJESTED('356_724') Truth=[0.61]
CONJESTED('192_1366') Truth=[0.64]
CONJESTED('42_1047') Truth=[0.11]
CONJESTED('712_1069') Truth=[0.5]
CONJESTED('941_1132') Truth=[0.5]
CONJESTED('400_549') Truth=[0.49]
CONJESTED('561_1343') Truth=[0.5]
CONJESTED('416_217') Truth=[0]
CONJESTED('150_23') Truth=[0.37]
CONJESTED('711_19') Truth=[0.02]
CONJESTED('1200_341') Truth=[0.5]
CONJESTED('694_355') Truth=[0.22]
CONJESTED('1243_102') Truth=[0.05]
CONJESTED('1001_242') Truth=[1]
CONJESTED('1158_518') Truth=[0.49]
CONJESTED('1034_871') Truth=[1]
CONJESTED('923_699') Truth=[0.09]
CONJESTED('77_966') Truth=[0.94]
CONJESTED('1064_773') Truth=[0.1]
CONJESTED('79_338') Truth=[0.08]
CONJESTED('499_715') Truth=[0.05]
CONJESTED('814_848') Truth=[0.05]
CONJESTED('370_326') Truth=[0.33]
CONJESTED('581_42') Truth=[0.29]
CONJESTED('628_845') Truth=[0.5]
CONJESTED('801_105') Truth=[0.27]
CONJESTED('464_93') Truth=[0.5]
CONJESTED('559_468') Truth=[0.23]
CONJESTED('1090_952') Truth=[1]
CONJESTED('1112_1021') Truth=[0.47]
CONJESTED('62_601') Truth=[0.91]
CONJESTED('1287_253') Truth=[0.5]
CONJESTED('1137_308') Truth=[0.39]
CONJESTED('663_58') Truth=[0.5]
CONJESTED('283_1071') Truth=[0.41]
CONJESTED('1082_1274') Truth=[1]
CONJESTED('116_1339') Truth=[0.43]
CONJESTED('340_834') Truth=[0.13]
CONJESTED('1204_192') Truth=[0.65]
CONJESTED('412_853') Truth=[0]
CONJESTED('72_1193') Truth=[1]
CONJESTED('1140_1196') Truth=[0.01]
CONJESTED('1236_544') Truth=[0]
CONJESTED('834_912') Truth=[0.41]
CONJESTED('527_929') Truth=[0.01]
CONJESTED('8_893') Truth=[0.68]
CONJESTED('1047_42') Truth=[0.28]
CONJESTED('272_1304') Truth=[0.42]
CONJESTED('893_437') Truth=[0.76]
CONJESTED('55_600') Truth=[0.49]
CONJESTED('629_1063') Truth=[0.16]
CONJESTED('406_852') Truth=[0.28]
CONJESTED('1164_26') Truth=[0.5]
CONJESTED('415_468') Truth=[0.36]
CONJESTED('1122_1159') Truth=[1]
CONJESTED('835_726') Truth=[0.08]
CONJESTED('622_115') Truth=[0.36]
CONJESTED('49_846') Truth=[0.13]
CONJESTED('951_369') Truth=[0.23]
CONJESTED('801_329') Truth=[0]
CONJESTED('1243_1069') Truth=[1]
CONJESTED('420_643') Truth=[0]
CONJESTED('1238_344') Truth=[0.02]
CONJESTED('608_1308') Truth=[0.69]
CONJESTED('260_807') Truth=[1]
CONJESTED('911_15') Truth=[0.4]
CONJESTED('895_1310') Truth=[0.01]
CONJESTED('433_705') Truth=[0.65]
CONJESTED('107_540') Truth=[0.42]
CONJESTED('773_1193') Truth=[0.25]
CONJESTED('592_1297') Truth=[0.23]
CONJESTED('123_199') Truth=[0.5]
CONJESTED('500_452') Truth=[0.16]
CONJESTED('942_736') Truth=[0.4]
CONJESTED('256_539') Truth=[0.07]
